"Pathways"	"Object ID"	"Reaction-List"
PWY-5407	"PWY-5407"	RXN-8501 // RXN-8500 // RXN-8499 // RXN-8497 // RXN-8495
PWY-5408	"PWY-5408"	RXN-8503 // RXN-8502 // RXN-8497 // RXN-8495
PWY-6549	"PWY-6549"	ISOCITDEH-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // GLUTAMINESYN-RXN // GLUTAMATE-SYNTHASE-FERREDOXIN-RXN // ISOCITRATE-DEHYDROGENASE-NAD+-RXN // CITSYN-RXN // PEPCARBOX-RXN // PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
PWY-5002	"PWY-5002"	RXN-7487 // RXN-7486 // RXN-7484 // 2.3.1.151-RXN // RXN-7488
PWY1G01-4	"PWY1G01-4"	RXN0-7316 // RXN0-5364
PWY-5410	"PWY-5410"	RXN-12299 // RXN-1346 // RXN-11852 // RXN-1349 // RXN-1347 // RXN-1345 // RXN-1321 // HYDROHEX-RXN // LIPOXYGENASE-RXN
PWY-5427	"PWY-5427"	RXNN-386 // 1.2.1.65-RXN // RXN-8615 // RXN-8612 // 1.3.1.29-RXN // NAPHTHALENE-12-DIOXYGENASE-RXN
PWY-5433	"PWY-5433"	PWY-5410 // PWY-5409 // PWY-5408 // PWY-5407 // PWY-5406
PWY-7530	"PWY-7530"	RXN-15659 // GLCNACPTRANS-RXN // RXN-14572
PWY-5749	"PWY-5749"	CITRAMALYL-COA-LYASE-RXN // ITACONYL-COA-HYDRATASE-RXN // RXN-8988 // RXN-8987
PWY-735	"PWY-735"	RXN-10708 // RXN-10706 // RXN-10707 // RXN-10696 // RXN-10701 // RXN-10700 // RXN-10699 // RXN-10703 // RXN-10702 // RXN-10698 // RXN-10705 // RXN-10704 // RXN-10697 // RXN-10695 // RXN-1321 // RXN1F-19 // 12-OXOPHYTODIENOATE-REDUCTASE-RXN // ALLENE-OXIDE-CYCLASE-RXN // RXN-745
PWY-5505	"PWY-5505"	GLNSYN-PWY // PWY-4341 // GLUGLNSYN-PWY // GLUTSYN-PWY // GLUTSYNIII-PWY // GLUTAMATE-SYN2-PWY
PWY-6957	"PWY-6957"	PWY-5415 // PWY-5417 // PWY-1501 // PWY-2503
PWY-5409	"PWY-5409"	LIPOXYGENASE-RXN // RXN-8504
PWY-5001	"PWY-5001"	RXN-7485 // RXN-7483 // RXN-7482 // RXN-7481 // BENZOATE--COA-LIGASE-RXN
PWY-4781	"PWY-4781"	RXN-10940 // RXN-7305 // RXN-7246 // RXN-7250 // RXN-7301 // RXN-7302 // RXN-7303 // RXN-7304
PWY-6373	"PWY-6373"	RXN-10985 // RXN-10986 // 3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN // RXN-9958
PWY-5406	"PWY-5406"	RXN-8498 // RXN-8497 // RXN-8496 // RXN-8495
PWY-4702	"PWY-4702"	RXN0-5408 // RXN0-1001 // RXN-7241 // RXN-7242 // RXN-7243 // RXN-7244 // RXN-7245 // RXN-7246 // RXN-7247 // RXN-7248 // RXN-7249 // RXN-7250 // RXN-7253 // RXN-7251
FASYN-ELONG-PWY	"FASYN-ELONG-PWY"	3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // ENOYL-ACP-REDUCT-NADPH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
ACETATEUTIL-PWY	"ACETATEUTIL-PWY"	PWY0-1312 // PWY0-1313
PWY-6244	"PWY-6244"	RXN-10483 // RXN-10482 // RXN-10481
FASYN-INITIAL-PWY	"FASYN-INITIAL-PWY"	PWY-4381 // ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
GLUTAMINEFUM-PWY	"GLUTAMINEFUM-PWY"	GLUTAMATESYN-RXN
